"rank_population","country_en","country_ru","iso3","population","population_date","population_source","leader_name_en","leader_name_ru","leader_qid","office_title","role_type","salary_local_annual","salary_usd_annual_approx","salary_usd_display","salary_conversion_note","salary_usd_monthly_display","salary_usd_monthly_equivalent","salary_basis","salary_confidence","salary_source_url","salary_source_caveat","portrait_original_file","portrait_3x4_file","portrait_source_url","portrait_license","portrait_author","portrait_attribution","portrait_width","portrait_height","notes"
"64","Chile","Чили","CHL","20206953","30 Jun 2025","National annual projection","José Antonio Kast","Хосе Антонио Каст","Q5937916","Head of state / president where applicable","head_state","CLP 123,228,912/year","131100","$131,100","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$10,925","10925","official_local_salary_current_fx_estimate","high","https://cdn.hacienda.cl/","Chile 2026 remuneration about CLP 10,269,076/month; USD converted approximately.","","assets/final_portraits_3x4/064_CHL_José-Antonio-Kast.jpg","https://commons.wikimedia.org/wiki/File:Presidente_Jos%C3%A9_Antonio_Kast_en_marzo_de_2026.jpg","CC BY 3.0 cl","Gobierno de Chile","https://prensa.presidencia.cl/comunicado.aspx?id=322094","2016","3026",""
"65","Zambia","Замбия","ZMB","19693423","8 Sep 2022","2022 census result","Hakainde Hichilema","Хакаинде Хичилема","Q717185","Head of state / president where applicable","head_state","production estimate, USD monthly equivalent","22800","$22,800","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,900","1900","reported_salary_or_equivalent_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate near reported Zambian presidential pay; reports conflict on whether salary is personally received.","","assets/final_portraits_3x4/065_ZMB_Hakainde-Hichilema.jpg","https://commons.wikimedia.org/wiki/File:Hakainde_Hichilema_in_Japan_on_February_6%2C_2025_%28cropped%29.jpg","CC BY 4.0","Cabinet Public Relations Office of the Cabinet Secretariat","Japan-Zambia Summit Meeting (The Prime Minister in Action) | Prime Minister's Office of Japan","682","863","FACTCHECK: Reports conflict: salary reported but government later said president does not receive state salary. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"66","Somalia","Сомали","SOM","19655000","1 Jul 2025","UN projection","Hassan Sheikh Mohamud","Хасан Шейх Махмуд","Q319153","Head of state / president where applicable","head_state","120,000 USD (President)","120000","$120,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$10,000","10000","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/066_SOM_Hassan-Sheikh-Mohamud.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Hassan%20Sheikh%20Mohamud--StateDept%20Portrait--%20%28cropped%29.jpg","Public domain","United States State Department","Flickr","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"67","Chad","Чад","TCD","19340757","1 Jul 2025","National annual projection","Mahamat Déby","Махамат Деби","Q16206405","Head of state / president where applicable","head_state","16,640 USD (President)","16640","$16,640","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,387","1387","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/067_TCD_Mahamat-Déby.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Mahamat%20D%C3%A9by.jpg","Public domain","United States Department of State Africa U.S.-Africa Leaders Summit: Photos and Videos","https://www.state.gov/africasummit/photos/","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"68","Senegal","Сенегал","SEN","19075959","1 Jul 2025","National annual projection","Bassirou Diomaye Faye","Бассиру Диомай Фай","Q124382437","Head of state / president where applicable","head_state","15,210 USD (President)","15210","$15,210","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,268","1268","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/068_SEN_Bassirou-Diomaye-Faye.jpg","https://commons.wikimedia.org/wiki/File:Bassirou_Diomaye_Faye_in_Yokohama_%28cropped%29.jpg","CC BY 4.0","Cabinet Public Relations Office of the Cabinet Secretariat","TICAD9 -Day 1- (1) (The Prime Minister in Action) | Prime Minister's Office of Japan","657","851","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"69","Romania","Румыния","ROU","19036031","1 Jan 2025","Official estimate","Nicușor Dan","Никушор Дан","Q11163124","Head of state / president where applicable","head_state","61,296 USD (President)","61296","$61,296","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$5,108","5108","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/069_ROU_Nicușor-Dan.jpg","https://commons.wikimedia.org/wiki/File:Nicu%C8%99or_Dan_-_Eastern_Flank_Summit_16_December_2025_%28cropped%29.jpg","CC BY 4.0","FinnishGovernment","https://www.flickr.com/photos/finnishgovernment/54988218514/","911","1214","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"70","Ecuador","Эквадор","ECU","18103660","1 Jul 2025","National annual projection","Daniel Noboa","Даниэль Нобоа","Q112075625","Head of state / president where applicable","head_state","75,132 USD (President)","75132","$75,132","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$6,261","6261","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/070_ECU_Daniel-Noboa.jpg","https://commons.wikimedia.org/wiki/File:Noboa_en_24_mayo_de_2026.jpg","CC0","Juan Montenegro/Presidencia de la República","https://www.flickr.com/photos/presidenciaecuador/55291048490/","2557","3520","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"71","Guatemala","Гватемала","GTM","18312373","1 Jul 2026","National annual projection","Bernardo Arévalo de León","Бернардо Аревало","Q107254030","Head of state / president where applicable","head_state","GTQ 100,855.91/month","155400","$155,400","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$12,950","12950","reported_salary_cut_current_fx_estimate","medium","https://agn.gt/presidente-anuncia-que-a-partir-de-junio-entra-en-vigor-la-reduccion-del-25-de-su-salario/","President announced 25% salary cut; approx Q100,855.91/month; USD converted approximately.","","assets/final_portraits_3x4/071_GTM_Bernardo-Arévalo-de-León.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Bernardo%20Ar%C3%A9valo%20de%20Le%C3%B3n.jpg","Public domain","Gobierno de Guatemala","https://www.flickr.com/photos/guatemalagob/54891043103/","","",""
"72","Cambodia","Камбоджа","KHM","17577760","1 Jul 2025","Official projection","Norodom Sihamoni","Нородом Сиамони","Q57319","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","30000","$30,000","Not publicly disclosed.","$2,500","2500","royal_allowance_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate for royal/head-of-state support; not a conventional salary.","","assets/final_portraits_3x4/072_KHM_Norodom-Sihamoni.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Ceremonial%20Reception%20of%20the%20King%20of%20Cambodia%2C%20Norodom%20Sihamoni%20on%20May%2030%2C%202023%20%283x4%20cropped%29.jpg","","","","","","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"73","Zimbabwe","Зимбабве","ZWE","17073087","1 Jul 2025","Official projection","Emmerson Mnangagwa","Эммерсон Мнангагва","Q510523","Head of state / president where applicable","head_state","146,590 USD (President)","146590","$146,590","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$12,216","12216","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/073_ZWE_Emmerson-Mnangagwa.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Emmerson%20Mnangagwa%20Official%20Portrait%20%28cropped%29.jpg","Public domain","Government of Zimbabwe","Government of Zimbabwe","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"74","Guinea","Гвинея","GIN","17521167","1 Jul 2025","Census 1 Juli 2025","Mamady Doumbouya","Мамади Думбуя","Q108418519","Head of state / president where applicable","head_state","22,390 USD (President)","22390","$22,390","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,866","1866","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/074_GIN_Mamady-Doumbouya.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Mamadi%20Doumbouya%202022.jpg","Public domain","Ambassade des Etats-Unis Conakry, Guinée","https://www.facebook.com/photo/?fbid=303743871782884","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"75","South Sudan","Южный Судан","SSD","15786898","1 Jul 2025","National annual projection","Salva Kiir Mayardit","Салва Киир","Q57315","Head of state / president where applicable","head_state","60,000 USD (President)","60000","$60,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$5,000","5000","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/075_SSD_Salva-Kiir-Mayardit.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Salva%20Kiir%20Mayardit.jpg","CC BY-SA 3.0","Photo Credit: Jenny Rockett","jenny.rockett@journalist.com","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"76","Rwanda","Руанда","RWA","14104969","1 Jul 2025","National annual projection","Paul Kagame","Поль Кагаме","Q1231345","Head of state / president where applicable","head_state","85,000 USD (President)","85000","$85,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$7,083","7083","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/076_RWA_Paul-Kagame.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Kagame%20MSC%202017.jpg","CC BY 3.0 de","Hildenbrand /MSC","https://securityconference.org/en/medialibrary/asset/paul-kagame-1538-18-02-2017/","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"77","Benin","Бенин","BEN","13224860","1 Jul 2025","National annual projection","Romuald Wadagni","Ваданьи, Ромуальд","Q24951128","Head of state / president where applicable","head_state","29,810 USD (President)","29810","$29,810","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$2,484","2484","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/077_BEN_Romuald-Wadagni.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Romuald%20Wadagni%20March%202026.jpg","CC BY-SA 4.0","Bibamad","Own work","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"78","Burundi","Бурунди","BDI","12332788","16 Aug 2024","Preliminary census result","Évariste Ndayishimiye","Эварист Ндайишимийе","Q27329764","Head of state / president where applicable","head_state","47,300 USD (President)","47300","$47,300","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$3,942","3942","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/078_BDI_Évariste-Ndayishimiye.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/%D0%AD%D0%B2%D0%B0%D1%80%D0%B8%D1%81%D1%82%20%D0%9D%D0%B4%D0%B0%D0%B9%D0%B8%D1%88%D0%B8%D0%BC%D0%B8%D0%B5%20%2818-02-2022%29%20%28cropped%29.jpg","CC BY 4.0","Lukasz Kobus / European Commission","Visit of Evariste Ndayishimiye, President of Burundi, to the European Commission","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"79","Tunisia","Тунис","TUN","11972169","6 Nov 2024","2024 census result","Kais Saied","Каис Саид","Q16120878","Head of state / president where applicable","head_state","16,700 USD (President)","16700","$16,700","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,392","1392","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/079_TUN_Kais-Saied.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Kais%20Saied%202023.jpg","Attribution","Quirinale","https://www.quirinale.it/elementi/93652","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"80","Jordan","Иордания","JOR","11937000","31 Dec 2025","National estimate","Abdullah II of Jordan","Абдалла II","Q57464","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","847452","$847,452","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$70,621","70621","royal_allowance_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate from public salary/allowance tables; royal budget may not equal personal salary.","","assets/final_portraits_3x4/080_JOR_Abdullah-II-of-Jordan.jpg","https://commons.wikimedia.org/wiki/File:Abdullah_II_portrait_at_10_Downing_Street_February_2026_%28cropped%29.jpg","OGL 3","Number 10","https://www.flickr.com/photos/number10gov/55100153570/","1280","1690","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"81","Belgium","Бельгия","BEL","11936546","1 Apr 2026","Official estimate","Philippe of Belgium","Филипп","Q155004","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","1080000","$1,080,000","Not publicly disclosed.","$90,000","90000","civil_list_equivalent_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate from civil list/public funding scale; not a simple personal salary.","","assets/final_portraits_3x4/081_BEL_Philippe-of-Belgium.jpg","https://commons.wikimedia.org/wiki/File:Visit_of_King_Philippe_I_of_Belgium_to_Ghent_European_Youth_Capital_on_25_April_2024_-_EU2024BE_240425_Visit_of_His_Majesty_the_King_to_Ghent_European_Youth_Capital_Ghent_JNZT_0078_%2853677952391%29.jpg","CC BY 2.0","Belgian Presidency of the Council of the EU 2024 from Belgium","EU2024BE_240425_Visit of His Majesty the King to Ghent European Youth Capital_Ghent_JNZT_0078","1860","2487","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"82","Haiti","Гаити","HTI","11867032","1 Jul 2024","National annual projection","Alix Didier Fils-Aime","Alix Didier Fils-Aime","Q124846311","Acting prime minister / sole executive; presidency vacant","acting_executive_no_president","production estimate, USD monthly equivalent","96000","$96,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$8,000","8000","acting_executive_salary_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate for acting executive authority after presidency became vacant.","","assets/final_portraits_3x4/082_HTI_Alix-Didier-Fils-Aime.jpg","https://commons.wikimedia.org/wiki/File:Alix_Didier_Fils-Aim%C3%A9_-_Premier_ministre_3x4_portrait.jpg","see_source","see_source","see source URL","680","184","FACTCHECK: Transitional Presidential Council mandate ended 2026-02-07; no elected president | FACTCHECK: No current elected president; presidency vacant / executive authority by PM. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"83","Bolivia","Боливия","BOL","11365333","23 Mar 2024","2024 census result","Rodrigo Paz Pereira","Rodrigo Paz Pereira","Q110520817","President","president","39,924 USD (President)","39924","$39,924","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$3,327","3327","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates. Leader/office fact-checked 2026-06-09.","","assets/final_portraits_3x4/083_BOL_Rodrigo-Paz-Pereira.jpg","https://commons.wikimedia.org/wiki/File:Rodrigo_Paz_Pereira._Official_portrait,_2020._Chamber_of_Senators_of_Bolivia_(3x4_cropped).jpg","see_source","see_source","see source URL","1200","1600","FACTCHECK: Name spelling corrected from Perota to Pereira | FACTCHECK: salary retained as approximate; official/current source not fully verified"
"84","United Arab Emirates","Объединённые Арабские Эмираты","ARE","11294243","31 Dec 2024","Official estimate","Mohammed Bin Zayed Al Nahyan","Мухаммад бен Зайд аль-Нахайян","Q1951896","President of the United Arab Emirates / head of state","head_state","production estimate, USD monthly equivalent","1200000","$1,200,000","Not used: source appears to describe royal grant/privy purse/allowance or an unverified outlier, not personal monthly salary.","$100,000","100000","royal_compensation_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Conservative production estimate for official head-of-state compensation; excludes wealth and privy-purse-style figures.","","assets/final_portraits_3x4/084_ARE_Mohammed-Bin-Zayed-Al-Nahyan.jpg","https://commons.wikimedia.org/wiki/File:Mohamed_bin_Zayed_Al_Nahyan_-_2024_%28cropped%29.jpg","CC BY 4.0","



Press Service of the President of the Republic of Azerbaijan
","Presidents of Azerbaijan and United Arab Emirates held expanded meeting","1706","2192","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"85","Czech Republic","Чехия","CZE","10915839","31 Dec 2025","Official estimate","Petr Pavel","Петр Павел","Q2080040","Head of state / president where applicable","head_state","CZK 383,200/month","199000","$199,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$16,583","16583","reported_official_salary_current_fx_estimate","medium","https://praguemorning.cz/czech-politicians-salaries-2026/","2026 Czech presidential salary reported CZK 383,200/month plus compensation; display uses salary-only approximate USD.","","assets/final_portraits_3x4/085_CZE_Petr-Pavel.jpg","https://commons.wikimedia.org/wiki/File:Petr_Pavel.jpg","CC BY-SA 4.0","Jana Jabůrková, Jiří Turek (J3T)","Kancelář prezidenta republiky","2365","3380",""
"86","Dominican Republic","Доминиканская Республика","DOM","10771504","10 Nov 2022","2022 census result","Luis Abinader","Luis Abinader","Q16594097","President","president","120,000 USD (President)","120000","$120,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$10,000","10000","local_salary_explicit_usd","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates. Leader/office fact-checked 2026-06-09.","","assets/final_portraits_3x4/086_DOM_Luis-Abinader.jpg","https://commons.wikimedia.org/wiki/File:President_Luis_Abinader.jpg","see_source","see_source","see source URL","885","1171","FACTCHECK: Name spelling corrected from Arruinader to Abinader"
"87","Portugal","Португалия","PRT","10749635","31 Dec 2024","Official estimate","António José Seguro","Антониу Жозе Сегуру","Q1580316","Head of state / president where applicable","head_state","96,469 USD (President)","96469","$96,469","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$8,039","8039","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/087_PRT_António-José-Seguro.jpg","https://commons.wikimedia.org/wiki/File:Ant%C3%B3nio_Jos%C3%A9_Seguro_2026-04-21.png","CC BY-SA 4.0","Lula Oficial","https://flickr.com/photos/lulaoficial/55222243703","1244","1767","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"88","Tajikistan","Таджикистан","TJK","10721000","1 Jan 2026","Official estimate","Emomali Rahmon","Эмомали Рахмон","Q57366","Head of state / president where applicable","head_state","13,200 USD (President)","13200","$13,200","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,100","1100","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/088_TJK_Emomali-Rahmon.jpg","https://commons.wikimedia.org/wiki/File:Emomali_Rahmon_on_December_22%2C_2025_%28cropped%29.jpg","CC BY 4.0","Cabinet Public Relations Office of the Cabinet Secretariat","Summit Meetings with Leaders of Countries Participating in the Summit of the ""Central Asia plus Japan"" Dialogue (CA+JAD) (2) (The Prime Minister in Action) | Prime Minister's Office of Japan","738","954","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"89","Sweden","Швеция","SWE","10604616","31 Mar 2026","Monthly national estimate","Carl XVI Gustaf of Sweden","Карл XVI Густав","Q45068","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","192000","$192,000","Not used: source appears to describe royal grant/privy purse/allowance or an unverified outlier, not personal monthly salary.","$16,000","16000","royal_allowance_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate for royal allowance/support; not a conventional salary.","","assets/final_portraits_3x4/089_SWE_Carl-XVI-Gustaf-of-Sweden.jpg","https://commons.wikimedia.org/wiki/File:06.11.2025_%E2%80%93_Recep%C3%A7%C3%A3o_Oficial_dos_Chefes_de_Delega%C3%A7%C3%A3o_da_C%C3%BApula_do_Clima_%2854906269035%29_%28Carlos_XVI_Gustavo%29.jpg","CC BY-SA 4.0","Lula Oficial","06.11.2025 – Recepção Oficial dos Chefes de Delegação da Cúpula do Clima","600","800","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"90","Greece","Греция","GRC","10372335","1 Jan 2025","Official estimate","Konstantinos Tasoulas","Константинос Тасулас","Q20995518","Head of state / president where applicable","head_state","154,739 USD (President)","154739","$154,739","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$12,895","12895","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/090_GRC_Konstantinos-Tasoulas.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/KonstantinosTasoulas.jpg","","","","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"91","Azerbaijan","Азербайджан","AZE","10259701","1 Dec 2025","Monthly national estimate","Ilham Aliyev","Ильхам Гейдарович Алиев","Q57371","Head of state / president where applicable","head_state","₼180,000 (President)","110000","$110,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$9,167","9167","verified_usd_column_from_salary_table","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/091_AZE_Ilham-Aliyev.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Ilham%20Aliyev%2C%20December%202025%20%28cropped%29.jpg","","","","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"92","Israel","Израиль","ISR","10244000","21 Apr 2026","Monthly national estimate","Isaac Herzog","Ицхак Герцог","Q983258","Head of state / president where applicable","head_state","173,000 USD (President)","173000","$173,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$14,417","14417","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/092_ISR_Isaac-Herzog.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Israeli%20President%20Isaac%20Herzog%20in%202024%20%28cropped%29.jpg","","","","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"93","Papua New Guinea","Папуа — Новая Гвинея","PNG","10185363","16 Jun 2024","2024 census result","Bob Dadae","Bob Dadae","Q4934027","Governor-General of Papua New Guinea / representative of the monarch","representative_head_state","production estimate, USD monthly equivalent","56244","$56,244","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$4,687","4687","governor_general_equivalent_estimate","estimated","https://www.cia.gov/resources/world-leaders/foreign-governments/papua-new-guinea","Papua New Guinea is a constitutional monarchy; display uses a Governor-General/head-of-state representative equivalent estimate.","059_PNG_Bob-Dadae.jpg","059_PNG_Bob-Dadae.jpg","https://commons.wikimedia.org/wiki/File:Sir_Bob_Dadae_(cropped).jpg","Public domain","U.S. Embassy Port Moresby","U.S. Embassy Port Moresby","892","1330","FACTCHECK 2026-06-09: replaced Charles III with Bob Dadae because salary basis is governor-general equivalent."
"94","Honduras","Гондурас","HND","10186738","1 Jul 2026","National annual projection","Nasry Asfura","Насри Асфура","Q16146159","Head of state / president where applicable","head_state","49,908 USD (President)","49908","$49,908","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$4,159","4159","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/094_HND_Nasry-Asfura.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Secretary%20Rubio%20Meets%20with%20Honduran%20President-Elect%20%2855037313932%29%20%28cropped%29.jpg","Public domain","U.S. Department of State","https://www.flickr.com/photos/statephotos/55037313932/","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"95","Cuba","Куба","CUB","9748007","31 Dec 2024","Official estimate","Miguel Díaz-Canel","Мигель Диас-Канель","Q1932603","Head of state / president where applicable","head_state","production estimate, USD monthly equivalent","6000","$6,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$500","500","presidential_salary_estimate","estimated","https://www.cinenetworth.com/miguel-diaz-canel-net-worth/","Conservative production estimate for Cuban president; official salary not found.","","assets/final_portraits_3x4/095_CUB_Miguel-Díaz-Canel.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Miguel%20Diaz-Canel%20on%20July%207%2C%202025%20%28cropped%29.jpg","CC BY-SA 4.0","El divo de placetas","https://www.flickr.com/photos/157736962@N05/54639960176/","","","FACTCHECK: Previous source was very weak net-worth style source; no official salary found. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
